old_text,translation
"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","""Quella guerra ben fatta, l'opera perché etc. E dall'altra parte, Aiace era uno cavaliere franco e prode all'arme, di gran lunga, ma non era pieno di grande saggezza."""
"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","crudele, e di tutte le colpe si prende vendetta, come dice la legge, e a nessuno cavaliere si perdona che pecchi."
"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non ebbe altra forza d'animo che Ponzio Aufidiano, cavaliere romano."
"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se il tempo ha bisogno di avere Pompeo per cavaliere e non per compagno, non riterrò più i fati."
"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","L'arte di questa professione sembra essere quella di fare credere di essere appostato, per poi far credere di farlo per dire."
Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Ecco e ventipiove larghi caggiano delle nebbie, e potresti credere che tutto il cielo cadesse nel mare."
"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Ma chi si aspetta che quelli che ancora non credono in Cristo, vedano con noi, e perché non possono negare, si scontrano con i denti."
I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,Le vendite dei morti e le pressioni dei vivi fecero la frode di un feroce re.
"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","""Perché lui, che ora è feroce e onorevole per le sue grandi virtù, è tormentato e afflitto dalla sua impietà verso il mio padre."""
Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini spesso restano fermi nella bugia e incontrano la verità.
"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, uno dei dieci compagni, si riservò di parlare alla fine."
cose ch'io sapeva che erano fatte in Italia.,cose che so che sono italiane.
Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Corbio, nipote di Ortensio, ha vissuto una vita più bassa e più sleale."
"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","""Un amante, chiamando la sua donna, le dice molte parole e ragioni, e lei si difende."""
"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","""Ricordo di essere furioso e di averla sbattuta. Oh, quanti giorni questa rabbia mi ha tolto!"""
colui del quale tu tti solevi dolere ch' era amante della tua donna;,"""quelli che ti facevano soffrire, che era amante della tua donna."""
"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non sapevano ancora i nomi delle persone coinvolte nella congiura, perché la donna non li aveva ancora nominati."
