sentence,Translations
"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra ben fatto il lavoro perché ecc Et dall'altra parte Aiaces era un cavaliere franco e potente in armi, di grande misura, ma non era pieno di grande comprensione"
"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","crudele, e di tutti i difetti prendere vendetta, come dice la legge, e a nessun cavaliere perdonare che il peccato."
"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Nessun'altra forza della mente fu adorna di Ponzio Aufidiano, cavaliere romano."
"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se e' necessario che il tempo abbia Pompeo per cavaliere e non per compagno, non sentiro' piu' il destino."
"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","L'ufficio di questa arte sembra essere quello di dire intenzionalmente per far credere alla gente, la fine è quello di far credere alla gente nel dirlo."
Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Ecco, ci sono grandi tempeste di nebbie limpide, e tu puoi credere che tutto il cielo è caduto nel mare."
"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Ma ora coloro che sperano in ciò che costoro non vogliono ancora credere in Cristo, vivono già con noi, e perché non possono negare, strillano i denti del collo."
I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,Le vendette dei morti e le richieste dei vivi hanno reso la frode di un re feroce.
"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Colui che è ora feroce e onorato per le sue grandi azioni, subirà ogni male afflizione e tormento di empietà verso mio padre."
Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini spesso si fermano nella menzogna incontra la verità.
"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, che era dei dieci compagni, si riservò di parlare alla fine."
cose ch'io sapeva che erano fatte in Italia.,cose che conoscevo sono state fatte in Italia.
Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,Corbio il nipote di Hortensus ha portato la sua vita inferiore e più vizioso
"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Anche un amante che chiama Merzé alla sua donna dice molte parole e ragioni, e lei si difende nel suo dire."
"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Ricordo (ch. 347) che, essendo arrabbiato, ho inseguito la mia donna. Oh, quante di questa rabbia mi ha portato via!"
colui del quale tu tti solevi dolere ch' era amante della tua donna;,Colui di cui amavi la tua donna.
"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non conoscono già i nomi di quelli della cospirazione, perché la donna non ha menzionato i nomi."
"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Quando si mosse, vi disse: ""O donna mia fedele, sia il nostro Ostia di Troia a comandarti al mio posto."""
"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano è stata repressa la malvagità di una donna in una tale menzogna, allo stesso tempo come questo signore della repubblica, in questo modo:"
"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","E si sono lamentati delle iniquità di Appio, e si sono rammaricati della malavventura bellezza del pulcino e del bisogno del padre."
"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","In cui la battaglia, naturalmente, ho sempre osato ragionare per la pace e mi ha sempre domato che non solo la pace era disgustata,"
"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","la seconda pianta a volte per la grande bontà di rendere spaventoso, e il primo a rendere audacemente gli altri pazzi."
Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Andò al campo dei Cartaginesi e tutta la legione disegnò secus.
"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.","Non voleva conoscerlo come un nemico. Questo è colui che ha dato al profeta Natan il coraggio di assumere con grande autorità quel re, che aveva peccato."
"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","le braccia e con esse passano per il nemico, perché se qualcuno non avesse osato di questo, e sì, avevano quest'anima."
Unde ragionevolemente Iob è interpretato dolente;,Inde ragionevolmente Giobbe è interpretato come doloroso;
