Author,Date,Region,Sentence,Translation,
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra è stata combattuta per una giusta causa. Dall’altra parte il cavaliere era valoroso in battaglia, ma non aveva molta saggezza.",
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","È crudele e punisce ogni colpa come vuole la legge, senza perdonare nessun cavaliere che sbaglia.",
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Ponzio Aufidiano non aveva coraggio d’animo, era semplicemente un cavaliere romano.",
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se per tutti va bene avere Pompeo come cavaliere anziché come compagno, lascerò che il destino faccia il suo corso",
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.",Il compito di quest’arte sembra essere parlare in modo studiato per ingannare gli altri; l’obiettivo è convincere con le parole.,
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,Guarda: fitte nebbie stanno scaricando forti piogge; sembra quasi che tutto il cielo stia cadendo nel mare.,
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Adesso chi potrebbe sapere cosa stanno facendo quelli che non sono più con noi? Non potendo negarlo, stringonoi denti.",
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,Le vendette sui morti e le pressioni sui vivi furono opera della frode di un re spietato.,
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Così quell’uomo, ormai spietato per le sue atroci malefatte, rimanga tormentato e sopraffatto dal rimorso verso mio padre.",
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Spesso succede che chi rimane intrappolato nelle proprie bugie alla fine scopre la verità.,
