sentence,translation,human score
"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","""Quella guerra ben fatta, l'opera perché etc. E dall'altra parte, Aiace era uno cavaliere franco e prode all'arme, di gran lunga, ma non era pieno di grande saggezza""",3
"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","""crudele, e di tutte le colpe si prende vendetta, come dice la legge, e non perdonano nessuno che pecca.""",4
"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","""Non ha altra forza d'animo che l'onore di Ponzio Aufidiano, cavaliere romano.""",3
"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","""Se questo piace a tutti e se il tempo ha bisogno di avere Pompeio per cavaliere e non per compagno, non riterrò più i fati."" 
Moderno: ""Se questo piace a tutti e se il tempo ha bisogno di avere Pompeio come cavaliere e non come compagno, non riterrò più i fati.""",4
"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","""L'arte di questa disciplina sembra essere quella di inventare una falsa immagine per far credere che sia vera.""",3
Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,Ecco e ventipiovoli caggiano delle nebbie dense; e potresti credere che tutto il cielo cadde nel mare.,4
"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","""Ma chi spererebbe che quelli che non vogliono ancora credere in Cristo, già vedono con noi, e perché non possono negare, stridono con i denti.""",5
I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,"""Le vendite dei morti e le presenze dei vivi fecero la truffa di un feroce re.""",4
"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","""E' proprio questo, che ora, per le sue grandi virtù, è feroce e onorevole, che, di ogni male afflitto e tormentato dalla impietà, lo tormenta verso il mio padre.""",4
Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"""Gli uomini spesso si trovano a stare fermi nella bugia e incontrano la verità.""",5
"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, uno dei dieci compagni, si riservò di parlare all'ultimo.",4
cose ch'io sapeva che erano fatte in Italia.,"""cose che io sapevo erano fatte in Italia.""",5
Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"""Il nipote di Ortensio ha vissuto una vita più bassa e più corrotta""",5
