input,finetuned_translation,human score
"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","qu quella guerra ben fatta che ha fatto dell'Arma aitena all'Arma,tutte le ispideop, che erano state separate dalla Gu. et all'Arma,tutte le Anime ne andavano in trontotra.,et all'Arma, che era stata forgiungi da unImpero,t muchas, and,.,l'Arma,amena.et all'Arma,t partisical thet partis All.t.t all.t",1
"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","e fa'it e' in modo di fare dazz, come dice il grammatico Pigli, e come dire che c'e' e' sempre giusto e corretto, come dice il grammatico Paccone, come saio, e come saio, quando dice pigliere. e' come lo e' sempre giusto e corretto, come sempre pisano, come saio, ecclesiastico, come sempre piglio, e",1
"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Trans aubit fou aubit fou aubit fou aufidiano, férmatianoti, traditore conubit fou aufidiano, diavolo, o genovese, o trans, fou aubit fou aufidiótermin fou fou aubit fou aufidi, o genoc",1
"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se il tempo ha 'ra i segni dei feudiani, se non è 'stato 'ra i suoi fianchi a dovere, Pompeo per cavaliere e non per il compagno [Benjamin, non trattenuti dal tempo né 'il tempo [ ha i segni dei feudiani, se non ' ha nemici di Dite, non ha ancora cacciato da tutti i suoi fianchi il tempo [ha preso il pungenti ', non ha alcun effettore",2
"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.",O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or in O or O or O or O,1
Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"E anche qui e là:
. Ed ecco che cosa significhino i venti pisani; e ti prego di fare calpestare lealmente il suolo eternamente quale fonte di ogni pioggia di lacrime.
E a me:
. E qui and.
. Ed ecco che cosa significhino le sante parole di espiazione; e ti prego di fare calpestare lealmente il suolo eternamente qual come fonte",1
"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Per Perciò chi spera di credere in Cristo chi spera di non altri, eternamente quale sarà il nostro Signore., che non vuole ancora credere in Cristo e a Giovanni, che non lo neghi di considerarlo con i denti., chi spera di Cristo, chi non sa di [Ch
, a chi non sa di non discernendo [con il diavolo], chi non vuole ancora credere in Cristo eternamente chi non lo neghi di considerarlo con i denti, chi non sa di [, a chi non sa di [ and",1
I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,"I vendi le colpe alle vittime e famia i denti in modo nonviolento.

Title de: vendici le colpe [dei dannati] e famia i denti in modo violento e crudele. [da qui: i vendici le colpe [dei dannati] e famia i denti in modo violento e crudele. [tiènti] le",1
"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Atopi, che per le sue grandi re, il cui fine [ per le sue creature] era crudele e crudele da capire, furioso e molesto dal mio padre, che ora lo opprime a lui, tra i transfelici e i dannati, il quale ora per le sue creature furioso e crudele da comprendere da lui, e diede adoro e adoro, furioso e molesto da fargli comprendere da lui, tra i transfelici e",2
Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"Gli uomini spessono presenti in quella bugia che ha fatto sbiadire il consenso [con l’invidia]. E, morendo, scendiamo sempre più verso la bugia [la vera], [pur essendo] presenti i corpi [dopo la morte]. E, [sconsideratamente] gli uomini nella bugia [con l’invidia]. E",1
"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.",Cornelio Cornelio che era con me. Cornelio che era con me. Cornelio che era con me. Cornelio che era con me. Cornelio che era con me. Cornelio che era con me. Cornelio che era con me. Cornelio che era con me. Cornelio che era con me. Cornelio che era con me. Cornelio,1
cose ch'io sapeva che erano fatte in Italia.,"se io sapevo che ero nata suora, se io fossi venuta a saperlo da questa parte, se non mi fossi voltato da qui, se non mi fossi voltato da qui, se non mi fossi voltato da qui, se non mi fossi voltato da qui, se non mi fossi voltato da qui, se",1
Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"ótaco da Orgallada a causa del suo sangue.
Orgalladada da Orgallace'sense of de Orgallace' ispidevital a causa del suo sangue.orubito dal punto di vista pungente.da Orgallace a causa del suo sangue.orubito dal punto di vista pung",1
