response,reference_answer,score
"""Quella guerra ben fatta, l'opera perché etc. E dall'altra parte, Aiace era uno cavaliere franco e prode all'arme, di gran lunga, ma non era pieno di grande saggezza""","Quella guerra è stata combattuta per una giusta causa. Dall’altra parte il cavaliere era valoroso in battaglia, ma non aveva molta saggezza.",1
"""crudele, e di tutte le colpe si prende vendetta, come dice la legge, e non perdonano nessuno che pecca.""","È crudele e punisce ogni colpa come vuole la legge, senza perdonare nessun cavaliere che sbaglia.",1
"""Non ha altra forza d'animo che l'onore di Ponzio Aufidiano, cavaliere romano.""","Ponzio Aufidiano non aveva coraggio d’animo, era semplicemente un cavaliere romano.",1
"""Se questo piace a tutti e se il tempo ha bisogno di avere Pompeio per cavaliere e non per compagno, non riterrò più i fati."" 
Moderno: ""Se questo piace a tutti e se il tempo ha bisogno di avere Pompeio come cavaliere e non come compagno, non riterrò più i fati.""","Se per tutti va bene avere Pompeo come cavaliere anziché come compagno, lascerò che il destino faccia il suo corso",1
"""L'arte di questa disciplina sembra essere quella di inventare una falsa immagine per far credere che sia vera.""",Il compito di quest’arte sembra essere parlare in modo studiato per ingannare gli altri; l’obiettivo è convincere con le parole.,2
Ecco e ventipiovoli caggiano delle nebbie dense; e potresti credere che tutto il cielo cadde nel mare.,Guarda: fitte nebbie stanno scaricando forti piogge; sembra quasi che tutto il cielo stia cadendo nel mare.,1
"""Ma chi spererebbe che quelli che non vogliono ancora credere in Cristo, già vedono con noi, e perché non possono negare, stridono con i denti.""","Adesso chi potrebbe sapere cosa stanno facendo quelli che non sono più con noi? Non potendo negarlo, stringonoi denti.",1
"""Le vendite dei morti e le presenze dei vivi fecero la truffa di un feroce re.""",Le vendette sui morti e le pressioni sui vivi furono opera della frode di un re spietato.,1
"""E' proprio questo, che ora, per le sue grandi virtù, è feroce e onorevole, che, di ogni male afflitto e tormentato dalla impietà, lo tormenta verso il mio padre.""","Così quell’uomo, ormai spietato per le sue atroci malefatte, rimanga tormentato e sopraffatto dal rimorso verso mio padre.",4
"""Gli uomini spesso si trovano a stare fermi nella bugia e incontrano la verità.""",Spesso succede che chi rimane intrappolato nelle proprie bugie alla fine scopre la verità.,2
"Marco Cornelio, uno dei dieci compagni, si riservò di parlare all'ultimo.","Marco Cornelio, uno dei dieci compagni, si mise da parte e parlò per ultimo con attenzione.",4
"""cose che io sapevo erano fatte in Italia.""",Cose che sapevo fossero già successe in Italia.,2
"""Il nipote di Ortensio ha vissuto una vita più bassa e più corrotta""","Corbio, il nipote di Ortensio, conduceva una vita molto più povera e viziosa.",2
"""Altressì uno amante chiamando la sua donna dice parole e ragioni molte, e lei si difende in suo dire.""","Anche un innamorato, chiedendo pietà alla sua donna, parla tanto per convincerla, e lei risponde cercando di difendersi con le sue parole.",1
"""Ricordo di essere arrabbiato e di averla sfogata, la mia donna. Oh, quanti giorni questa rabbia mi ha tolto!""","Preso dalla rabbia, arrivai a strappare i capelli di mia moglie. Quella rabbia mi tormentò per giorni interi.",3
"""quello che ti faceva male, che era amante della tua donna;""",Quello di cui ti lamentavi era innamorato della tua donna.,1
"""Ma non sapevano ancora le loro parole, perché la donna non aveva ancora nominato i loro nomi.""","Non sapevano ancora chi fossero i congiurati, perché la donna non aveva fatto nessun nome",2
"""Credi? Certo quando si muove, gli dice: ""O fedele mia donna, fai che in mio luogo ti sia raccomandato il nostro ospite troiano"".""","Sul serio? Quando lui se ne andò, disse: ‘Mia cara, ti affido il nostro ospite troiano mentre io non ci sono.’",2
"A Milano fu ripresa la malvagità di una donna in simile bugia, nel tempo medesimo di questo signore della Repubblica, in questo modo:","A Milano, mentre governava quel signore della repubblica, fu smascherata una donna che aveva detto una bugia simile.",1
"""E lamentavano dell'ingiustizia di Appio, e si lamentano della malvagità della bellezza della fanciulla e della necessità del padre.""","Criticavano l’ingiustizia di Appio, soffrivano la sorte orribile della giovane ragazza e la tragica scelta del padre.",2
"""Nella quale battaglia, certo io ho sempre avuto il coraggio di ragionare di pace e sempre mi è doloroso che non solo la pace fosse stata ignorata.""","Durante la battaglia, ho proposto sempre la pace e mi è dispiaciuto che oltre a essere ignorata, venne anche disprezzata.",2
"""La seconda spesso per la grande prudenza fa timoroso, e la prima per l'ardire rendere altrui matto.""","La seconda volta, se sei troppo prudente finisci con l’avere paura. La prima volta avere troppo coraggio può farti diventare incosciente",1
Andò nel campo dei cartaginesi e tutta la legione lo seguì.,"Andò verso il campo dei Cartaginesi, portando con sé tutta la legione.",1
"""Non lo volle cognoscere per male. Questa è quella, la quale diede coraggio al profeta Natan a riprendere con grande autorità quello re, il quale aveva peccato."" 
Moderno: ""Non lo volle conoscere per male. Questa è quella che diede coraggio al profeta Natan a riprendere con grande autorità quel re, il quale aveva peccato.""","Non voleva vederlo come un nemico. Fu quella stessa forza che diede a Natan, il profeta, il coraggio di affrontare con fermezza il re colpevole",2
"""L'armi e insieme con loro passano tra i nemici, per cui se qualcuno non avesse coraggio di questo e sì avevano questo animo.""","Nella biblioteca polverosa, i manoscritti antichi raccontavano storie dimenticate.",1
"""Dove ragionevolmente Iob è interpretato come sofferente;""","Perciò, è sensato che il nome Giobbe venga inteso come ‘sofferente
",2
"""Chi, di tutti gli altri, perdonasse ai cittadini e a cui potreste più sicuramente credere, poi che fu vostro comandante.""","Più di tutti, è stato lui a mostrare clemenza verso i cittadini. Potete fidarvi di lui, dato che un tempo fu al vostro comando.",1
"""Invano si domanda chi abbia scritto questo libro, con ciò si deve credere che l'autore sia lo Spirito Santo.""",Non ha senso domandarsi chi abbia scritto questo libro perché bisogna credere che sia stato ispirato dallo spirito santo,1
"""Se non fosse così diffusa, sarebbe molto più incredibile: è più facile credere che ciò sia vero, dato che l'uomo è destinato al divino e il mondo è immutabile.""","Se non fossimo abituati, sembrerebbe davvero incredibile. In fondo, è più facile crederci se pensiamo a quanto l’essere umano sia diverso da Dio, e quanto tutto ciò che cambia sia lontano da ciò che resta sempre uguale.",2
"""Che prendessero la paga dal campagnolo per la loro dispensa e, in modo permanente, andassero alla presenza del Papa per contraddire il passaggio dei cavalieri che venivano da Cecilia in Toscana""",Che si facessero dare i soldi dal camerlengo per conto proprio e andassero subito dal papa a protestare contro il passaggio dei cavalieri che stavano arrivando dalla Sicilia in Toscana.,2
"""Teseo guardò Achelao fortemente meravigliandosi e disse: 'O messer Achelao, ti prego che tu mi dica in che modo hai perso'""","Teseo fissò sorpreso Achelao e disse: ‘Achelao, ti prego, raccontami com'è che hai perso.’",1
"""Spero che Messer Gesù mandino a presto a voi Timoteo, perché voglio essere un uomo buono""","Spero che Gesù mi aiuti a mandarvi presto Timoteo, così sarò più tranquillo",1
"""senza farlo, il salvatico avanza l'uomo d'udire e il lupo cerviere del vedere""",Sicuramente il cinghiale ci sente meglio di un uomo e il lupo ci vede meglio.,1
"""Un luogo si chiama lancio; la quale cosa i cavalieri l'appellano capo di porco""",In un luogo si scagliano lancioni; questa cosa i cavalieri la chiamano 'capo di porco'.,1
"""Metti le reti a caccia dei cervi e sa bene in quali valle si nasconde il feroce cinghiale.""","tenda le reti ai cervi, e sa bene in quali valli si nasconde il furioso cinghiale.",3
"Ora spaventrai i cervi con diverse paure, o lo spietato cenghiare si arrampica in terra, col collo spiedo.","adesso spaventerai i desiderosi cervi con vari e diversi timori, oppure il cinghiale cadrà a terra trafitto dallo spiedo.",2
"""Tratta la natura delle cose fisiche, che non parlano all'interno delle loro forme, così come Dio e le cose divine.""","tratta della natura delle cose immateriali, che non interagiscono con i corpi, come Dio e le cose divine.",2
"Dio, che giudica e decide tutte le cose.","Dio, attraverso il quale tutte le cose vengono distribuite e giudicate.",3
"""Dove i poeti, parlando di sé, dicono le loro virtù e dicono fantasticamente i loro difetti, quando la loro sorte li ha destinati a questo ruolo""","Così i poeti, parlando di sé, descrivono le proprie virtù e raccontano in modo fantastico i propri difetti, quando qualcuno eccede l'ordine a loro assegnato.",3
"""E quella cosa, che è diretta e onesta, e con virtù, quella sola penso essere il bene.""","e quella cosa che è giusta e onesta, e che possiede virtù, solo quella penso sia il bene.",2
"Quando i serpenti invadono di giorno qualcuno Romano, allora è la meraviglia vedere come i Psille si combattono al veleno, perché li immolavano tutte le loro zanne della loro saliva.","Quando i serpenti avvelenavano qualcuno dei Romani durante il giorno, era una meraviglia vedere come i Psille combattevano contro il veleno, poiché essi immolavano tutto ciò che avevano nella loro saliva.",2
"""Il poeta dice: oh, quanto bella è vedere apertamente con gli occhi quando tu gli fai dire o in culo o in altro""","Dice il poeta: oh, che bella cosa è vedere chiaramente con gli occhi quando glie lo fai passare dietro, o nel culo, o in altri posti.",2
"""ma pur questo fu colpa tua, però che volesti vedere con gli occhi fisici la cosa invisibile.""","ma questa fu colpa tua, perché volevi cercare di vedere con gli occhi la cosa invisibile.",2
