response,reference_answer,score
"Quella guerra ben fatto il lavoro perché ecc Et dall'altra parte Aiaces era un cavaliere franco e potente in armi, di grande misura, ma non era pieno di grande comprensione","Quella guerra è stata combattuta per una giusta causa. Dall’altra parte il cavaliere era valoroso in battaglia, ma non aveva molta saggezza.",2
"crudele, e di tutti i difetti prendere vendetta, come dice la legge, e a nessun cavaliere perdonare che il peccato.","È crudele e punisce ogni colpa come vuole la legge, senza perdonare nessun cavaliere che sbaglia.",2
"Nessun'altra forza della mente fu adorna di Ponzio Aufidiano, cavaliere romano.","Ponzio Aufidiano non aveva coraggio d’animo, era semplicemente un cavaliere romano.",1
"Se questo piace a tutti e se e' necessario che il tempo abbia Pompeo per cavaliere e non per compagno, non sentiro' piu' il destino.","Se per tutti va bene avere Pompeo come cavaliere anziché come compagno, lascerò che il destino faccia il suo corso",2
"L'ufficio di questa arte sembra essere quello di dire intenzionalmente per far credere alla gente, la fine è quello di far credere alla gente nel dirlo.",Il compito di quest’arte sembra essere parlare in modo studiato per ingannare gli altri; l’obiettivo è convincere con le parole.,2
"Ecco, ci sono grandi tempeste di nebbie limpide, e tu puoi credere che tutto il cielo è caduto nel mare.",Guarda: fitte nebbie stanno scaricando forti piogge; sembra quasi che tutto il cielo stia cadendo nel mare.,1
"Ma ora coloro che sperano in ciò che costoro non vogliono ancora credere in Cristo, vivono già con noi, e perché non possono negare, strillano i denti del collo.","Adesso chi potrebbe sapere cosa stanno facendo quelli che non sono più con noi? Non potendo negarlo, stringonoi denti.",1
Le vendette dei morti e le richieste dei vivi hanno reso la frode di un re feroce.,Le vendette sui morti e le pressioni sui vivi furono opera della frode di un re spietato.,2
"Colui che è ora feroce e onorato per le sue grandi azioni, subirà ogni male afflizione e tormento di empietà verso mio padre.","Così quell’uomo, ormai spietato per le sue atroci malefatte, rimanga tormentato e sopraffatto dal rimorso verso mio padre.",1
Gli uomini spesso si fermano nella menzogna incontra la verità.,Spesso succede che chi rimane intrappolato nelle proprie bugie alla fine scopre la verità.,2
