response,reference_answer,score
"qu quella guerra ben fatta che ha fatto dell'Arma aitena all'Arma,tutte le ispideop, che erano state separate dalla Gu. et all'Arma,tutte le Anime ne andavano in trontotra.,et all'Arma, che era stata forgiungi da unImpero,t muchas, and,.,l'Arma,amena.et all'Arma,t partisical thet partis All.t.t all.t","Quella guerra è stata combattuta per una giusta causa. Dall’altra parte il cavaliere era valoroso in battaglia, ma non aveva molta saggezza.",1
"e fa'it e' in modo di fare dazz, come dice il grammatico Pigli, e come dire che c'e' e' sempre giusto e corretto, come dice il grammatico Paccone, come saio, e come saio, quando dice pigliere. e' come lo e' sempre giusto e corretto, come sempre pisano, come saio, ecclesiastico, come sempre piglio, e","È crudele e punisce ogni colpa come vuole la legge, senza perdonare nessun cavaliere che sbaglia.",1
"Trans aubit fou aubit fou aubit fou aufidiano, férmatianoti, traditore conubit fou aufidiano, diavolo, o genovese, o trans, fou aubit fou aufidiótermin fou fou aubit fou aufidi, o genoc","Ponzio Aufidiano non aveva coraggio d’animo, era semplicemente un cavaliere romano.",1
"Se il tempo ha 'ra i segni dei feudiani, se non è 'stato 'ra i suoi fianchi a dovere, Pompeo per cavaliere e non per il compagno [Benjamin, non trattenuti dal tempo né 'il tempo [ ha i segni dei feudiani, se non ' ha nemici di Dite, non ha ancora cacciato da tutti i suoi fianchi il tempo [ha preso il pungenti ', non ha alcun effettore","Se per tutti va bene avere Pompeo come cavaliere anziché come compagno, lascerò che il destino faccia il suo corso",4
O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or O or in O or O or O or O,Il compito di quest’arte sembra essere parlare in modo studiato per ingannare gli altri; l’obiettivo è convincere con le parole.,1
"E anche qui e là:
. Ed ecco che cosa significhino i venti pisani; e ti prego di fare calpestare lealmente il suolo eternamente quale fonte di ogni pioggia di lacrime.
E a me:
. E qui and.
. Ed ecco che cosa significhino le sante parole di espiazione; e ti prego di fare calpestare lealmente il suolo eternamente qual come fonte",Guarda: fitte nebbie stanno scaricando forti piogge; sembra quasi che tutto il cielo stia cadendo nel mare.,1
"Per Perciò chi spera di credere in Cristo chi spera di non altri, eternamente quale sarà il nostro Signore., che non vuole ancora credere in Cristo e a Giovanni, che non lo neghi di considerarlo con i denti., chi spera di Cristo, chi non sa di [Ch
, a chi non sa di non discernendo [con il diavolo], chi non vuole ancora credere in Cristo eternamente chi non lo neghi di considerarlo con i denti, chi non sa di [, a chi non sa di [ and","Adesso chi potrebbe sapere cosa stanno facendo quelli che non sono più con noi? Non potendo negarlo, stringonoi denti.",1
"I vendi le colpe alle vittime e famia i denti in modo nonviolento.

Title de: vendici le colpe [dei dannati] e famia i denti in modo violento e crudele. [da qui: i vendici le colpe [dei dannati] e famia i denti in modo violento e crudele. [tiènti] le",Le vendette sui morti e le pressioni sui vivi furono opera della frode di un re spietato.,1
"Atopi, che per le sue grandi re, il cui fine [ per le sue creature] era crudele e crudele da capire, furioso e molesto dal mio padre, che ora lo opprime a lui, tra i transfelici e i dannati, il quale ora per le sue creature furioso e crudele da comprendere da lui, e diede adoro e adoro, furioso e molesto da fargli comprendere da lui, tra i transfelici e","Così quell’uomo, ormai spietato per le sue atroci malefatte, rimanga tormentato e sopraffatto dal rimorso verso mio padre.",1
"Gli uomini spessono presenti in quella bugia che ha fatto sbiadire il consenso [con l’invidia]. E, morendo, scendiamo sempre più verso la bugia [la vera], [pur essendo] presenti i corpi [dopo la morte]. E, [sconsideratamente] gli uomini nella bugia [con l’invidia]. E",Spesso succede che chi rimane intrappolato nelle proprie bugie alla fine scopre la verità.,2
Cornelio Cornelio che era con me. Cornelio che era con me. Cornelio che era con me. Cornelio che era con me. Cornelio che era con me. Cornelio che era con me. Cornelio che era con me. Cornelio che era con me. Cornelio che era con me. Cornelio che era con me. Cornelio,"Marco Cornelio, uno dei dieci compagni, si mise da parte e parlò per ultimo con attenzione.",1
"se io sapevo che ero nata suora, se io fossi venuta a saperlo da questa parte, se non mi fossi voltato da qui, se non mi fossi voltato da qui, se non mi fossi voltato da qui, se non mi fossi voltato da qui, se non mi fossi voltato da qui, se",Cose che sapevo fossero già successe in Italia.,1
"ótaco da Orgallada a causa del suo sangue.
Orgalladada da Orgallace'sense of de Orgallace' ispidevital a causa del suo sangue.orubito dal punto di vista pungente.da Orgallace a causa del suo sangue.orubito dal punto di vista pung","Corbio, il nipote di Ortensio, conduceva una vita molto più povera e viziosa.",1
"un amante che è Allie, una donna che parlava con lei, ha detto Trans:tronovall’Allie ha detto Merzéina, che dice: “Alice”. Trans:trone, trans:trans: Trans:trone che ha detto Merzéina, una donna che parlava con lei, ha detto: ""Alice"": trans:troneva Merzéina, che dice: “Alice.","Anche un innamorato, chiedendo pietà alla sua donna, parla tanto per convincerla, e lei risponde cercando di difendersi con le sue parole.",1
"io mi ricordo che scapena discerne An
Date pure
MI fàtti conoscere la mia donna. Ohi, ohi, chièrmati?
Ohi, quanti anni ho detto?
Ohi, ohi, ohi, scapena discerne An
.
 MI fàtti conoscere la mia donna. Ohi,chi 347
chi 347
Ohimè,","Preso dalla rabbia, arrivai a strappare i capelli di mia moglie. Quella rabbia mi tormentò per giorni interi.",1
